Title (abbreviated),Number
Antik tanulmányok - Studia antiqua,988
Antik Tanulmányok (Studia Antiqua),989
Antiquitas,990
Antiquity,991
Anuario de Estudios Filológicos [Universidad de Extremadura],992
Anuarul Institutului de Studii Clasice (Univ. din Cluj),993
Apeiron,994
Apocrypha,995
Aquila legionis. Cuadernos de estudios sobre el ejército romano,996
Aram,997
Arbor,998
Archaeologia,999
Archaeologia Maritima Mediterranea,1000
"Archaeologiai. Ertesitö, s. III",1001
Archaeology,1002
Archaeonautica,1003
Archaeozoologia,1004
Archaeus,1005
Archaiognosia,1006
Archaiologia,1007
Archaoelogy,1008
Archeion,1009
Archeion idiotikou dikaiou,1010
Archeo,1011
Archeografo Triestino,1012
Archéologia,1014
Archeologia Viva N.S.,1015
Archéologie du Nil Moyen,1016
Archiv für ägyptische Archäologie,1017
Archiv für Geschichte des Buchwesens,1018
Archiv für Liturgiewissenschaft,1019
Archivio giuridico Filippo Serafini,1022
Archiwum Filologiczne. XI,1023
Archiwum Orientale Pragense,1024
Archiwum towarzystwa naukowego we Lwowie,1025
Arctos,1026
Arctos N.S.,1027
Arethusa,1028
Argos,1029
Ariadne,1030
Arion,1031
Art in America,1032
Arte,1033
Artibus Asiae,1034
Arts et Métiers graphiques,1035
Asiatische Studien,1036
Aspetti dell'opinione pubblica nel,1037
Athena,1038
Athenaeum,1039
Athenaeum N.S.,1040
Atiqot,1041
Atti Acc. Udine s. VI,1042
Atti del IV Congresso nazionale di Studi Romani. II,1043
"Atti dell'Accademia di Scienze, Lettere e Arti di Udine",1044
Atti dell'Accademia Peloritana dei Pericolanti,1045
"Atti della Società Italiana per il Progresso delle Scienze Riunite XXVI, vol. I",1046
"Atti e memorie dell'Accademia nazionale di scienze, lettere ed arti di Modena ser.",1047
Atti IV Congresso Internazionale di Archeologia Cristiana. II,1048
Au fil de,1049
Au royaume d'Osiris. Images et rites,1050
Aufidus,1051
Augustinianum,1052
Aula Orientalis,1053
Auriga,1054
Aus der Welt,1055
Australian Biblical Review,1056
Balkan-Archiv N.F.,1057
"Bancroftiana [The Bancroft Library, University of California, Berkeley]",1058
Baptist Quarterly,1059
Baroda State Museum Bulletin,1060
Begegnung von Heidentum und Christentum,1061
Beiträge zur Sudanforschung,1062
Belfagor,1063
Bergamum,1064
Bericht des Historischen Vereins Bamberg,1065
Berkshire Review,1066
Berytus,1067
Bibel und Kirche,1068
Bible Review,1069
Biblica,1070
Bibliophil. Jahrb. f. Kathol. Geistesleben,1071
Bibliotheca Sacra,1072
Biblische Leitschrift N.F.,1073
Biblische Notizen,1074
Biblos,1075
Bijdragen tot de geschiedenis,1076
Bild- und Formensprache der spätantiken Kunst. Hugo Brandenburg zum,1077
Biuletyn historii Sztuki i Kultury,1078
Bogoslovska smotra,1079
Bogoslovskie trudy,1080
Boletín de la Asociación española de Egiptología,1081
Boletín de la Asociación Española de Orientalistas,1083
Boletín del Instituto de Derecho Comparado de México,1084
Boletín del Instituto de Investigaciones Históricas,1085
Boletín del Museo Arqueológico Nacional,1086
Bollettino del Museo Civico di Padova,1087
Bollettino del Reale Istituto di patologia del libro,1088
Bollettino della Scuola di perfezionamento e di specializzazione in diritto del lavoro e della sicurezza sociale (Università di Trieste),1089
Bollettino della Società Lett. Verona,1090
Bollettino di Numismatica,1091
"Bollettino Roncioniano [Prato, Biblioteca Roncioniana]",1092
Boreas,1093
Boston Museum Bulletin,1094
Britannia,1095
British Academy Review,1096
British Journal for the History of Science,1097
Buchbinderlehrling,1098
Bull. Museen in Köln,1099
"Bull. of the John Rylands Library, Manchester",1100
Bulletin de l'Académie des Sciences de l'URSS,1101
"Bulletin de l'Association des Amis de ""Sources chrétiennes""",1102
Bulletin de la Société Archéologique d'Alexandrie,1104
Bulletin de la Société d'Égyptologie de Genève,1106
Bulletin de la Société Ernest Renan N.S.,1109
Bulletin de la Société française d'Égyptologie,1110
Bulletin de liaison de la Société des Amis de la Bibliothèque Salomon-Reinach N.S.,1112
Bulletin des Musées et Monuments lyonnais,1113
Bulletin du Centenaire. Supplément au BIFAO,1114
Bulletin du Cercle d'Études numismatiques,1115
Bulletin du Cercle des Alumni de la Fondation Universitaire,1116
Bulletin International de l'Académie Yougoslave des Sciences et des Beaux-Arts de Zagreb,1117
Bulletin of British Byzantine Studies,1118
Bulletin of the Bezan Club,1120
Bulletin of the Egyptological Seminar,1121
"Bulletin of the Faculty of Arts, Farouk I University [Alexandria University]",1122
Bulletin of the Israel Exploration Society,1123
Bulletin of the Okayama Orient Museum,1124
Bulletin of the Polish Institute of Arts and Sciences in America,1125
BSOAS,1126
Bulletin officiel de la Chambre syndicale du Commerce des papiers de France,1127
Bulletin trimestriel de la Société française d'Égyptologie,1128
Bulletin van de Vereeniging tot Bevordering der Kennis van de Antieke Beschaving,1129
Bulletin. Wadsworth Atheneum,1130
Buried History. Quarterly Journal of the Australian Institute of Archaeology,1131
Buzantiaka,1132
Buzantina,1133
Byzantina,1134
Byzantina Metabyzantina,1135
Byzantina Neerlandica,1136
Byzantine Studies / Études byzantines,1138
Byzantinoslavica,1139
Byzantion,1140
Ca' de Sass,1141
Cadmo [Lisboa],1142
Caesarodunum,1143
Cahiers d'Alexandrie,1144
"Cahiers d'Alexandrie Série III, fasc.",1145
Cahiers d'histoire égyptienne,1146
Cahiers de Clio,1147
Cahiers de Karnak,1148
Cahiers de la céramique égyptienne,1149
Cahiers de Mariemont,1150
Cahiers du Centre d'études chypriotes,1151
Capitolium,1152
Cathedra,1153
Catholic Biblical Quarterly,1154
Célébration du bi-centenaire de la pierre,1155
"Centaur, No. spécial d'hommage à la Grèce",1156
Centaurus,1157
Cercle lyonnais d'Égyptologie Victor Loret. Bulletin,1158
Chiron,1159
Christiana Albertina,1160
"Christoph SCHÄUBLIN, Aus paganer und christlicher Antike. Ausgewählte Aufsätze zur Klassischen Philologie",1161
Chronozones,1162
Church Quarterly Review,1163
Ciba-Rundschau,1164
Circe,1165
Classica (Brasil),1166
Classical Studies,1167
Classicum,1168
Codicologica,1169
Collectanea Christiana Orientalia [Córdoba],1170
Communications du Musée National de l'Ermitage,1171
Computing in the,1172
Concordia Theological Monthly,1173
Conservation of Wood in Painting and the Decorative Arts,1174
Convivium,1175
Corolla Londiniensis,1176
Crises,1177
Cristianismo y poder en,1178
Critical Review of Books in Religion,1179
Cuadernos de Historia primitiva,1180
Cultura Biblica,1181
Cultura Bíblica,1182
Czasopismo prawno-historyczne,1183
Czasopismo Prawno-Historyczne [Annales d'Histoire du Droit],1184
Czasopismo prewno-historyczne,1185
Dappim,1187
Das Altertum,1188
Das Giessener Fenster. Aktuelle Monatsschrift für Giessen und Mittelhessen,1189
Das Gymnasium,1190
Das Prophetische Wort,1191
Dawna kultura,1192
Dawna Sztuka,1193
De Gids,1194
Dejury a soucasnost,1195
Deltion tès christianikès archaiologikès Hetaireias IV,1196
Der Stenografielehrer,1197
Deutsche höhere Schule,1198
Deutsche Juristen Zeitung,1199
Deutsche Münzblätter,1200
Deutsche Textfunde in Nubien,1201
Deutsches Jahrbuch der Musikwissenschaft,1202
Deutsches Pfarrerblatt,1203
Deutschlands Erneuerung,1204
Dialog,1205
Dialogos,1206
Diatribae Fr. Lexa.,1207
Didaskalikon (Athénée Royal de Liège. Centre de recherche et de documentation pour l'enseignement du grec) No.,1208
Didaskalos,1209
Die Antike,1210
Die Bibel in der Welt. Jahrbuch des Verbandes der Evangelischen Bibelgesellschaften in Deutschland,1211
Die Frau,1212
Die Neue Rundschau,1213
Die Sprache,1214
Die Waage,1215
Dike,1216
Dike. Rivista di storia del diritto greco ed ellenistico,1217
Diogène,1218
Diogenes,1219
Dioniso,1220
Dioniso N.S.,1221
Dionysius,1222
"Dipartimento di Filologia, Linguistica e Tradizione classica ""Augusto Rostagni"". Quaderni",1223
Discussions in Egyptology,1224
Dodekanesiakon Archeion,1225
Dodone,1226
Donum Natalicium Albin,1227
"Dossier: ""Afriques romaines, relectures et réflexions à l'école",1228
Doxa,1229
Durius,1230
Ecclesiastical Review,1231
École Pratique des Hautes Études - Section des Sciences historiques et philologiques. Livret-Annuaire,1232
Egnatia,1233
Egypt Travel Magazine,1234
Egypt Travel Magazine [édition française],1235
Égypte contemporaine,1236
"Égypte, Afrique & Orient",1237
Égyptes,1238
Egyptian Archaeology,1239
Égyptiens et Grecs: ports et voyages,1240
Eikasmos,1241
Einiges über Löhne und Preise im justinianischen Reich,1242
Eirene,1243
Eis mnemen G.P. Oikonomou.,1244
El miliario extravagante,1245
Elenchos,1246
Emerita,1247
Enchoria,1248
Eos,1249
Epeteris Laographikou Archeiou Akademias Athenon,1250
Epeteris Leukadikon meleton,1251
Ephemerides Liturgicae,1252
Ephemerides mariologicae,1253
Ephemeris Hellenon Nomikon,1254
Ephemeris ton Hellenon Nomikon,1255
Epigraphica,1256
Epitheoresis Ergatikou Dikaiou,1257
Epoca,1258
Epos,1259
Eranos,1260
"Eras [School of Historical Studies, Monash University, Melbourne]",1261
Erdkunde. Archiv für wissenschaftliche Geographie,1262
Erfurter Münzblätter,1263
Erytheia,1264
"Espacio, Tiempo y Forma. Serie II. Historia Antigua [Universidad Nacional de Educación a Distancia]",1265
"Essays in Philosophy [Humboldt State University, Arcata, California]",1266
"Estudios humanísticos, Geografía, Historia, Arte (Universidad de León. Facultad de Filosofía y Letras)",1267
Estudis Romànics,1268
Études balkaniques,1269
Eulimene,1270
Eunomia,1271
Eunomia (Prague),1273
Evangel,1275
Evangelical Quarterly,1276
Evangelische Theologie,1277
Expedition,1278
Expedition (Philadelphia),1279
Facta. A Journal of Roman Material Culture Studies,1280
Faenza,1281
Faventia,1282
Filologia Neotestamentaria,1283
Filomata,1284
Filomata (Cracovie),1285
Filomata fasc.,1286
Filomocha No.,1287
Filosofia,1288
Folium,1289
Fonaments. Prehistòria i Món. Antic als Països Catalans,1290
Forschung in,1291
Forschungen und Berichte,1292
Fortunatae,1293
France Franciscaine,1294
France-Grèce,1295
"Francisco R. ADRADOS, José Antonio BERENGUER, Eugenio R. LUJÁN y Juan RODRÍGUEZ SOMOLINOS, Veinte años de filología griega",1296
"François Lasserre, Nouveaux chapitres de littérature grecque",1297
Freiburger Universitätsblätter,1298
From the Gustavianum Collections,1299
From the Gustavianum Collections in Uppsala,1300
Gaia. Revue interdisciplinaire sur la Grèce archaïque [Université Stendhal-Grenoble,1301
Galenos. Rivista di filologia dei testi medici antichi,1302
Gallia,1303
Genava,1304
Genava N.S.,1305
Genus,1306
George Town Law Journal,1307
Gereformeerd theologisch Tijdschrift,1308
Gerión,1309
Germania,1310
Germany and You,1311
"Ginette LACAZE et Luc CAMINO, Mémoires de Suez. François Bissey et René Chabot-Morisseau à la découverte du désert oriental d'Égypte",1312
Glastechn. Berichte,1313
Glotta,1314
Gnomon,1315
Goden langs de Nijl. Religie,1316
Gold Bulletin,1317
"Gos. Ermitaz, Trudy otd. vostoka",1318
Göttinger Miszellen,1319
Grace Theological Journal,1320
Graeco-Arabica,1321
Graecolatina Pragensia,1322
Grand Street,1323
Grec et latin en,1324
Gymnasium,1325
Habis,1326
Hadrien: vices et vertus,1327
Hamdard medicus,1328
Handelingen [van de] Koninklijke Zuid-Nederlandse Maatschappij voor Taal- en Letterkunde en Geschiedenis,1329
Handes Amsorya,1330
Harvard Divinity School Bulletin,1331
Hathor,1332
Heidelberger Jahrbücher,1333
Helikon,1334
Helios,1335
Hellas,1336
Hellenika,1337
Helmantica,1338
Henoch,1339
Hermathena,1340
Hermeneus,1341
Hermes,1342
Hesperia,1343
Hessische Blätter für Volkskunde,1344
Het Boek,1345
Het Kind,1346
Histoire et Mesure,1347
Historia,1348
"Historica [Vereniging voor Vrouwengeschiedenis, Brussel]",1349
Historical Reflections / Réflexions historiques,1350
History,1351
History Today,1352
Hochland,1353
Hommage à Nazarena Valenza,1354
Horizon,1355
Horos,1356
Humanidades (Universidad Pontificia de Comillas),1357
Humanitas,1358
Humanitas (Brescia) N.S.,1359
Humanitas (Coimbra),1360
Hyperboreus,1361
I canali della propaganda nel,1362
Iatrika Chronika,1363
Ibérica,1364
Iconographie classique et identités régionales. Paris,1365
Il Foro Italiano,1366
Il Giornale dell'Università (Firenze),1367
Il Ponte,1368
Ilu,1369
Ilu. Revista de ciencias de las religiones,1370
Imagination,1371
Imago Aegypti,1372
Imago Mundi,1373
In memoriam E.V. Marmorale.,1374
Incontri triestini di Filologia classica,1375
